citation,agency,organization,journal,university,book
"Benson, S.R., K.A. Forney, J.T. Harvey, J.V. Carretta, and P.H. Dutton. 2007b. Abundance, distribution, and habitat of leatherback turtles (Dermochelys coriacea) off California, 1990-2003. Fishery Bulletin 105(3):337-347. ",,,Fishery Bulletin,,
"Friedlander, A.M., G.W. Boehlert, M.E. Field, J.E. Mason, J.V. Gardner, and P. Dartnell. 1999. Sidescan-sonar mapping of benthic trawl marks on the shelf and slope off Eureka, California. Fishery Bulletin, 97:786-801. ",,,Fishery Bulletin,,
"Henwood, T.A. and W.E. Stuntz. 1987. Analysis of sea turtle captures and mortalities during commercial shrimp trawling. Fishery Bulletin 85(4):813-817. ",,,Fishery Bulletin,,
"Ehrhart, L.M., and R.G. Yoder. 1978. Marine turtles of Merritt Island National Wildlife Refuge, Kennedy Space Centre, Florida. Florida Marine Research Publications 33:25-30. ",,,Florida Marine Research Publications,,
"Ehrhart, L.M. 1983. Marine turtles of the Indian River Lagoon System. Florida Scientist 46: 337-346. ",,,Florida Scientist,,
"Ehrhart, L.M., W.E. Redfoot, and D.A. Bagley. 2007. Marine turtles of the central region of the Indian River Lagoon System, Florida. Florida Scientist 70(4):415-434. ",,,Florida Scientist,,
"Poulakis, G.R., and J.C. Seitz. 2004. Recent occurrence of the smalltooth sawfish, Pristis pectinata (Elasmobranchiomorphi: Pristidae), in Florida Bay and the Florida Keys, with comments on sawfish ecology. Florida Scientist 67(27):27-35. ",,,Florida Scientist,,
"Meylan, A.B., B. Schroeder, and A. Mosier. 1994. Marine turtle nesting activity in the state of Florida, 1979-1992. Page 83 in K.A. Bjorndal, A.B. Bolten, D.A. Johnson, and P.J. Eliazar (eds.), Fourteenth Annual Symposium on Sea Turtle Biology and Conservation. ",,,Fourteenth Annual Symposium on Sea Turtle Biology and Conservation,,
"Starbird, C.H., and M.M. Suarez. 1994. Leatherback sea turtle nesting on the north Vogelkop coast of Irian Jaya and the discovery of a leatherback sea turtle fishery on Kei Kecil Island. Pages 143-146 in K.A. Bjorndal, A.B. Bolten, D.A. Johnson, and P.J. Eliazar (eds.), Fourteenth Annual Symposium on Sea Turtle Biology and Conservation. ",,,Fourteenth Annual Symposium on Sea Turtle Biology and Conservation,,
"Lew, D.K. 2015. Willingness to pay for threatened and endangered marine species: a review of the literature and prospects for policy use. Frontiers in Marine Science, 2, 17 pp. ",,,Frontiers in Marine Science,,
"Hawkes, L.A., A.C. Broderick, M.H. Godfrey, and B.J. Godley. 2007. Investigating the potential impacts of climate change on a marine turtle population. Global Change Biology 13:1-10. ",,,Global Change Biology,,
"Weishampel, J.F., D.A. Bagley, and L.M. Ehrhart. 2004. Earlier nesting by loggerhead sea turtles following sea surface warming. Global Change Biology 10:1424-1427. ",,,Global Change Biology,,
"Foley, A.M., K.E. Singel, P.H. Dutton, T.M. Summers, A.E. Redlow, and J. Lessman. 2007. Characteristics of a green turtle (Chelonia mydas) assemblage in northwestern Florida determined during a hypothermic stunning event. Gulf of Mexico Science 25(2):131-143. ",,,Gulf of Mexico Science,,
"Bass, A.L., and W.N. Witzell. 2000. Demographic composition of immature green turtles (Chelonia mydas) from the east central Florida coast: evidence from mtDNA markers. Herpetologica 56(3):357-367. ",,,Herpetologica,,
"Campell, C.L., and C.J. Lagueux. 2005. Survival probability estimates for large juvenile and adult green turtles (Chelonia mydas) exposed to an artisanal marine turtle fishery in the Western Caribbean. Herpetologica 61(2):91-103. ",,,Herpetologica,,
"Eckert, K.L., S.A. Eckert, T.W. Adams, and A.D. Tucker. 1989. Inter-nesting migrations by leatherback sea turtles (Dermochelys coriacea) in the West Indies. Herpetologica 45(2):190-194. ",,,Herpetologica,,
"Stewart, K., C. Johnson, and M.H. Godfrey. 2007. The minimum size of leatherbacks at reproductive maturity, with a review of sizes for nesting females from the Indian, Atlantic and Pacific Ocean basins. Herpetological Journal 17(2):123-128. ",,,Herpetological Journal,,
"Shoop, C.R., and R.D. Kenney. 1992. Seasonal distributions and abundances of loggerhead and leatherback sea turtles in waters of the northeastern United States. Herpetological Monographs 6:43-67. ",,,Herpetological Monographs,,
"Witzell, W.N. 2002. Immature Atlantic loggerhead turtles (Caretta caretta): suggested changes to the life history model. Herpetological Review 33(4):266-269. ",,,Herpetological Review,,
"Wright, A.J., N.A. Soto, A.L. Baldwin, M. Bateson, C.M. Beale, C. Clark, T. Deak, E.F. Edwards, A. Fernandez, A. Godinho, L. Hatch, A. Kakuschke, D. Lusseau, D. Martineau, L.M. Romero, L. Weilgart, B.A. Wintle, G. Notarbartola-de-Sciara, and V. Martin. 2007. Do marine mammals experience stress related to anthropogenic noise? International Journal of Comparitive Psychology 20:274-316. ",,,International Journal of Comparitive Psychology,,
"Jacobson, E.R., J.L. Mansell, J.P. Sundberg, L. Hajjar, M.E. Reichmann, L.M. Ehrhart, M. Walsh, and F. Murru. 1989. Cutaneous fibropapillomas of green turtles (Chelonia mydas). Journal Comparative Pathology 101:39-52. ",,,Journal Comparative Pathology,,
"Aguirre, A., G. Balazs, T. Spraker, S.K.K. Murakawa, and B. Zimmerman. 2002. Pathology of oropharyngeal fibropapillomatosis in green turtles Chelonia mydas. Journal of Aquatic Animal Health 14:298-304. ",,,Journal of Aquatic Animal Health,,
"Monzón-Argüello, C., L.F. López-Jurado, C. Rico, A. Marco, P. López, G.C. Hays, and P.L.M. Lee. 2010. Evidence from genetic and Lagrangian drifter data for transatlantic transport of small juvenile green turtles. Journal of Biogeography 37(9):1752-1766. ",,,Journal of Biogeography,,
"Best, P.B. 2001. Report of the workshop on the comprehensive assessment of right whales: a worldwide comparison. Journal of Cetacean Research and Management 2:1-60. ",,,Journal of Cetacean Research and Management,,
"Wallmo, K., and D. Lew. 2016. A comparison of regional and national values for recovering threatened and endangered marine species in the United States. Journal of Environmental Management, 179, pp. 38-46. ",,,Journal of Environmental Management,,
"Hays, G.C., S. Åkesson, A.C. Broderick, F. Glen, B.J. Godley, P. Luschi, C. Martin, J.D. Metcalfe, and F. Papi. 2001. The diving behavior of green turtles undertaking oceanic migration to and from Ascension Island: dive durations, dive profiles, and depth distribution. Journal of Experimental Biology 204:4093-4098.",,,Journal of Experimental Biology,,
"Jones, T.T., M.D. Hastings, B.L. Bostrom, D. Pauly, and D.R. Jones. 2011. Growth of captive leatherback turtles, Dermochelys coriacea, with inferences on growth in the wild: implications for population decline and recovery. Journal of Experimental Marine Biology and Ecology 399(1):84-92.",,,Journal of Experimental Marine Biology and Ecology,,
"Prosdocimi, L., V. González Carman, D.A. Albareda, and M.I. Remis. 2012. Genetic composition of green turtle feeding grounds in coastal waters of Argentina based on mitochondrial DNA. Journal of Experimental Marine Biology and Ecology 412:37-45. ",,,Journal of Experimental Marine Biology and Ecology,,
"Tucker, A.D. 2010. Nest site fidelity and clutch frequency of loggerhead turtles are better elucidated by satellite telemetry than by nocturnal tagging efforts: implications for stock estimation. Journal of Experimental Marine Biology and Ecology 383(1):48-55. ",,,Journal of Experimental Marine Biology and Ecology,,
"Van Dam, R.P., and C.E. Diez. 1998. Home range of immature hawksbill turtles (Eretmochelys imbricata (Linnaeus)) at two Caribbean islands. Journal of Experimental Marine Biology and Ecology 220:15-24. ",,,Journal of Experimental Marine Biology and Ecology,,
"Naro-Maciel, E., J.H. Becker, E.H.S.M. Lima, M.A. Marcovaldi, and R. DeSalle. 2007. Testing dispersal hypotheses in foraging green sea turtles (Chelonia mydas) of Brazil. Journal of Heredity 98(1):29-39. ",,,Journal of Heredity,,
"Naro-Maciel, E., A.C. Bondioli, M. Martin, A. de Padua Almeida, C. Baptistotte, C. Bellini, M.A. Marcovaldi, A.J. Santos, and G. Amato. 2012. The interplay of homing and dispersal in green turtles: a focus on the southwestern Atlantic. Journal of Heredity 103(6):792-805. ",,,Journal of Heredity,,
"Green, D. 1993. Growth rates of wild immature green turtles in the Galápagos Islands, Ecuador. Journal of Herpetology 27(3):338-341. ",,,Journal of Herpetology,,
"Johnson, S.A., and L.M. Ehrhart. 1996. Reproductive ecology of the Florida green turtle: clutch frequency. Journal of Herpetology 30(3):407-410. ",,,Journal of Herpetology,,
"Lund, F.P. 1985. Hawksbill turtle (Eretmochelys imbricata) nesting on the East Coast of Florida. Journal of Herpetology 19(1):166-168. ",,,Journal of Herpetology,,
"Pike, D.A., R.L. Antworth, and J.C. Stiner. 2006. Earlier nesting contributes to shorter nesting seasons for the loggerhead sea turtle, Caretta caretta. Journal of Herpetology 40(1):91-94. ",,,Journal of Herpetology,,
"Shaver, D.J. 1994. Relative abundance, temporal patterns, and growth of sea turtles at the Mansfield Channel, Texas. Journal of Herpetology 28:491-497. ",,,Journal of Herpetology,,
"Davenport, J., D.L. Holland, and J. East. 1990. Thermal and biochemical characteristics of the lipids of the leatherback turtle (Dermochelys coriacea): evidence of endothermy. Journal of the Marine Biological Association of the United Kingdom 70:33-41. ",,,Journal of the Marine Biological Association of the United Kingdom,,
"Glenn, F., A.C. Broderick, B.J. Godley, and G.C. Hays. 2003. Incubation environment affects phenotype of naturally incubated green turtle hatchlings. Journal of the Marine Biological Association of the United Kingdom, 4 pp. ",,,Journal of the Marine Biological Association of the United Kingdom,,
